Date,Open,High,Low,Close,Adj Close,Volume
2012-03-08,190.478012,191.195023,189.913956,191.022949,127.625282,3290507
2012-03-09,191.185471,192.25621,190.936905,191.797318,128.142593,3324397
2012-03-12,192.093689,192.705551,191.424469,192.160614,128.385345,3263206
2012-03-13,192.848953,194.933075,192.74379,194.818359,130.160995,5089836
2012-03-14,194.818359,196.128113,194.684509,195.71701,130.761414,4814006
2012-03-15,195.927338,197.112808,195.736145,196.94072,131.578979,3787671
2012-03-16,197.92543,198.393875,196.950287,196.950287,131.585373,10080302
2012-03-19,196.663483,197.447418,195.506699,196.673035,131.400146,3936307
2012-03-20,195.736145,195.984711,194.741867,195.267685,130.461212,3865075
2012-03-21,195.33461,196.72084,195.315491,195.688339,130.742249,3483075
2012-03-22,195.028687,196.931168,194.990433,196.453156,131.25322,3459959
2012-03-23,196.835571,196.902481,195.564056,196.443588,131.246826,3175865
2012-03-26,197.370941,198.776291,197.246658,198.632889,132.709534,3575437
2012-03-27,199.292542,199.483749,197.896744,198.068832,132.332687,2828907
2012-03-28,198.317398,199.512421,197.198853,198.173996,132.402969,3415922
2012-03-29,197.026764,199.33078,196.959854,199.110901,133.028915,3560270
2012-03-30,199.560226,199.923523,198.862335,199.474182,133.271591,3363099
2012-04-02,199.770554,200.468445,198.938812,200.258133,133.795395,3543743
2012-04-03,200.105164,201.424469,199.369019,200.286804,133.814529,4279709
2012-04-04,197.151047,197.877625,196.166351,196.988525,131.610901,4606584
2012-04-05,196.128113,196.634796,195.468445,196.434036,131.240448,3984214
2012-04-09,195.411087,197.103256,194.426392,195.927338,130.901917,3479937
2012-04-10,195.927338,196.692154,193.27916,193.432129,129.234802,4323013
2012-04-11,195.019119,195.33461,193.556412,193.671127,129.394547,3521045
2012-04-12,193.881454,196.520081,193.728485,196.290634,131.144669,3064362
2012-04-13,195.33461,195.650101,193.881454,193.881454,129.535004,3940282
2012-04-16,195.736145,196.912048,193.804977,193.804977,129.483963,4002624
2012-04-17,195.573608,198.508606,195.172089,198.326965,132.505173,6344513
2012-04-18,193.527725,195.095596,191.20459,191.328873,127.829582,10620561
2012-04-19,191.233276,192.40918,188.833649,190.736145,127.433601,6027993
2012-04-20,191.042068,191.319305,190.33461,190.822174,127.491135,4977077
2012-04-23,189.187378,190.344162,188.135757,189.885284,126.865128,3785265
2012-04-24,190.305923,193.575531,190.124283,191.20459,127.74659,5885110
2012-04-25,193.135757,194.732315,192.92543,194.617584,130.026871,4187556
2012-04-26,194.455063,197.141495,194.455063,196.5392,131.31073,3454624
2012-04-27,197.39006,199.015289,196.854691,197.715103,132.096359,3657757
2012-04-30,197.619507,198.814529,197.246658,197.973236,132.26886,2900767
2012-05-01,198.068832,199.741867,197.619507,198.852768,132.856445,2840831
2012-05-02,197.868073,199.110901,197.810699,198.910141,132.894806,2468874
2012-05-03,199.110901,199.732315,197.466537,198.12619,132.371048,2956624
2012-05-04,197.39006,198.001907,195.411087,195.975143,130.933914,4208686
2012-05-07,194.990433,195.764816,193.977051,194.789673,130.14183,3528576
2012-05-08,193.537292,194.13002,190.936905,192.619507,129.231003,4060049
2012-05-09,191.195023,194.072662,190.305923,192.380493,129.070679,3914655
2012-05-10,192.160614,194.311661,191.223709,191.778198,128.666595,4006703
2012-05-11,191.166351,193.231354,191.156784,192.323135,129.032181,2501509
2012-05-14,191.128113,191.883362,189.827911,190.66922,127.922577,3168543
2012-05-15,190.66922,192.60994,190.019119,190.286804,127.665939,3124820
2012-05-16,190.650101,192.495224,189.46463,190.946457,128.108597,5231046
2012-05-17,190.889099,191.959854,188.94838,189.187378,126.928421,5885110
2012-05-18,190.038239,190.038239,186.577438,187.265778,125.639122,6001007
2012-05-21,187.361374,189.225616,186.07074,189.063095,126.845001,4007958
2012-05-22,189.33078,189.541107,187.437866,188.164429,126.242081,3731187
2012-05-23,186.931168,187.848953,184.703629,187.495224,125.793121,4288600
2012-05-24,187.370941,187.648178,185.468445,187.466537,125.773849,3733488
2012-05-25,186.529633,187.380493,185.468445,185.755264,124.625732,3035387
2012-05-29,186.634796,189.369019,186.634796,187.820267,126.011154,3784951
2012-05-30,186.233276,186.87381,185.248566,185.975143,124.773285,3768215
2012-05-31,185.564056,186.357559,183.556412,184.416824,123.727753,9714725
2012-06-01,181.759079,183.288712,180.305923,180.764816,121.277557,5445894
2012-06-04,180.057358,181.05162,178.776291,180.248566,120.931168,4837227
2012-06-05,179.655838,181.500961,179.311661,180.879547,121.354538,3720099
2012-06-06,182.39006,185.468445,181.663483,185.458893,124.426918,3808800
2012-06-07,186.692154,187.217972,185.411087,185.889099,124.715477,3871351
2012-06-08,185.191208,186.558319,184.225616,186.558319,125.164528,2593243
2012-06-11,187.954117,188.049713,183.910141,184.043976,123.477608,3423872
2012-06-12,183.690247,186.108994,183.690247,185.994263,124.786034,3162790
2012-06-13,185.812622,186.606125,183.891006,184.608032,123.856087,3397094
2012-06-14,184.512421,187.217972,184.263855,186.520081,125.138863,3749910
2012-06-15,187.456985,190.506699,186.806885,190.344162,127.704437,6682894
2012-06-18,188.881454,190.860428,188.499039,189.569794,127.184967,3534329
2012-06-19,190.086044,191.195023,190.057358,190.181641,127.595451,3449290
2012-06-20,189.961761,190.956024,188.814529,190.038239,127.499268,3533597
2012-06-21,190.315491,190.678772,184.694077,184.885284,124.042,4515164
2012-06-22,185.344162,186.309753,184.722748,185.181641,124.240883,9228858
2012-06-25,184.015289,184.885284,183.250473,184.378586,123.702087,3359334
2012-06-26,185.028687,185.162521,182.361374,183.508606,123.118401,3593951
2012-06-27,183.690247,185.181641,182.504776,184.512421,123.79187,2889784
2012-06-28,182.820267,183.632889,180.592728,182.982788,122.765663,4149796
2012-06-29,185.994263,187.198853,183.94838,186.978973,125.446709,5501542
2012-07-02,187.72467,188.527725,186.281067,187.217972,125.607033,2957042
2012-07-03,186.864243,187.705551,186.338425,187.313583,125.671181,1517118
2012-07-05,186.309753,188.193115,185.114716,186.701721,125.260727,2813949
2012-07-06,185.391968,185.411087,181.395798,182.992355,122.772026,5180733
2012-07-09,182.370941,182.600388,179.780121,181.328873,121.656006,4171553
2012-07-10,181.931168,182.734222,177.437866,178.068832,119.468796,4906054
2012-07-11,178.030594,179.120453,175.439774,177.103256,118.820969,5707081
2012-07-12,176.147232,176.281067,173.852768,175.038239,117.435577,5158140
2012-07-13,175.391968,178.135757,174.980881,177.829834,119.308456,4113918
2012-07-16,177.418732,177.915863,176.462708,176.663483,118.525955,3289042
2012-07-17,177.562134,178.097519,175.143402,175.573608,117.794716,5395896
2012-07-18,176.05162,180.296371,175.478012,179.971313,120.745163,8388397
2012-07-19,184.894836,188.193115,184.483749,186.749527,125.292786,10873588
2012-07-20,185.554489,186.328873,183.718933,183.986618,123.439148,5010026
2012-07-23,181.434036,182.887192,179.923523,182.437866,122.400055,4084107
2012-07-24,182.523895,182.906311,180.267685,181.969406,122.085739,3762567
2012-07-25,181.94072,184.292542,180.994263,182.676865,122.560387,4010155
2012-07-26,184.980881,186.376678,184.101334,185.420654,124.401222,3433913
2012-07-27,186.520081,188.728485,185.420654,187.753342,125.96624,4369456
2012-07-30,187.686417,189.139572,187.304016,188.030594,126.152283,2915202
2012-07-31,187.858505,188.891006,187.265778,187.361374,125.703232,3668322
2012-08-01,188.298279,189.149139,186.156784,186.596558,125.190186,2677028
2012-08-02,185.621414,187.954117,184.531555,185.898666,124.721893,2941980
2012-08-03,187.839386,190.20076,187.533463,189.789673,127.332443,3428893
2012-08-06,190.019119,191.147232,189.789673,190.019119,127.486404,2445339
2012-08-07,190.659653,192.045883,190.057358,191.137665,128.236847,3357032
2012-08-08,189.550674,190.908218,189.445511,190.277252,128.20462,2163442
2012-08-09,189.885284,190.688339,189.187378,189.694077,127.811737,2259465
2012-08-10,189.168259,190.602295,188.565964,190.525818,128.372116,2720123
2012-08-13,190.13385,191.185471,189.091782,190.258133,128.191772,2529542
2012-08-14,190.13385,190.564056,189.024857,189.569794,127.728004,2680166
2012-08-15,190.152969,190.564056,189.216064,189.674957,127.79882,2208943
2012-08-16,190.028687,192.466537,189.407272,192.007645,129.37056,2855057
2012-08-17,192.237091,193.116638,191.835571,192.370941,129.615341,2669183
2012-08-20,191.864243,192.284897,191.233276,191.682602,129.151566,2443456
2012-08-21,192.151047,192.160614,189.646271,189.913956,127.959908,3254420
2012-08-22,189.904404,189.913956,188.240921,188.575531,127.058075,3447721
2012-08-23,188.374756,188.690247,186.845123,187.093689,126.059654,2884240
2012-08-24,186.38623,189.397705,185.659653,189.072662,127.393005,2760917
2012-08-27,189.254303,189.579346,187.007645,187.084137,126.053215,2613745
2012-08-28,186.959854,187.485657,185.946457,186.300186,125.524971,2656003
2012-08-29,186.548752,187.418732,186.328873,186.500961,125.660263,2239904
2012-08-30,186.20459,186.87381,184.684509,184.86615,124.558762,2866981
2012-08-31,185.764816,187.332703,184.952194,186.281067,125.512115,3340192
2012-09-04,187.963669,188.499039,184.751434,185.984711,125.312454,4722062
2012-09-05,185.860428,187.237091,185.363297,186.462708,125.634537,3464875
